Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MultiStepVendorRegistrationAddon,Chrome 69.0.3497.100,,2018-10-04 16:00:45,2018-10-04 16:01:40,54.491s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/CreateMultiStep,Chrome 69.0.3497.100,,2018-10-04 16:00:46,2018-10-04 16:01:13,26.951s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 16:00:46,2018-10-04 16:00:50,3.322s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-04 16:00:50,2018-10-04 16:00:51,1.154s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 16:00:51,2018-10-04 16:00:54,3.484s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 16:00:54,2018-10-04 16:00:54,0.220s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 16:00:54,2018-10-04 16:00:55,0.220s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:00:55,2018-10-04 16:00:57,2.245s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:00:57,2018-10-04 16:00:57,0.119s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:00:57,2018-10-04 16:01:00,3.038s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:00,2018-10-04 16:01:02,2.017s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:02,2018-10-04 16:01:03,1.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:03,2018-10-04 16:01:05,1.518s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:05,2018-10-04 16:01:06,1.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:06,2018-10-04 16:01:06,0.091s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:06,2018-10-04 16:01:07,1.003s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 16:01:07,2018-10-04 16:01:07,0.121s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:07,2018-10-04 16:01:08,1.004s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 16:01:08,2018-10-04 16:01:08,0.181s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:08,2018-10-04 16:01:09,1.002s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:09,2018-10-04 16:01:09,0.131s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:09,2018-10-04 16:01:12,3.002s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-04 16:01:12,2018-10-04 16:01:13,0.658s,PASSED
,,,,,,
Test Cases/MultiStepVendorRegistrationAddon/DeleteMultiStep,Chrome 69.0.3497.100,,2018-10-04 16:01:13,2018-10-04 16:01:40,27.119s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 16:01:13,2018-10-04 16:01:15,1.907s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-04 16:01:15,2018-10-04 16:01:16,1.136s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 16:01:16,2018-10-04 16:01:20,3.810s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 16:01:20,2018-10-04 16:01:20,0.162s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 16:01:20,2018-10-04 16:01:20,0.157s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:20,2018-10-04 16:01:22,2.156s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:22,2018-10-04 16:01:22,0.141s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:22,2018-10-04 16:01:25,3.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:25,2018-10-04 16:01:27,1.988s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:27,2018-10-04 16:01:28,1.003s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:28,2018-10-04 16:01:30,1.455s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:30,2018-10-04 16:01:33,3.003s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-04 16:01:33,2018-10-04 16:01:33,0.101s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:33,2018-10-04 16:01:33,0.076s,PASSED
acceptAlert,Chrome 69.0.3497.100,,2018-10-04 16:01:33,2018-10-04 16:01:33,0.028s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:33,2018-10-04 16:01:36,3.001s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 16:01:36,2018-10-04 16:01:36,0.146s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 16:01:36,2018-10-04 16:01:39,3.002s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-04 16:01:39,2018-10-04 16:01:40,0.627s,PASSED
