Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VendorAttributeAddon,Chrome 69.0.3497.100,,2018-10-04 15:52:23,2018-10-04 15:54:01,1m - 38.043s,PASSED
,,,,,,
Test Cases/VendorAttributeAddon/AddNewAttribute,Chrome 69.0.3497.100,,2018-10-04 15:52:23,2018-10-04 15:52:50,26.608s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-04 15:52:24,2018-10-04 15:52:27,3.307s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-04 15:52:27,2018-10-04 15:52:28,1.143s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-04 15:52:28,2018-10-04 15:52:32,3.356s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:52:32,2018-10-04 15:52:32,0.226s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-04 15:52:32,2018-10-04 15:52:32,0.230s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:52:32,2018-10-04 15:52:35,2.503s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:52:35,2018-10-04 15:52:35,0.136s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:52:35,2018-10-04 15:52:38,3.044s,PASSED
scrollToPosition,Chrome 69.0.3497.100,,2018-10-04 15:52:38,2018-10-04 15:52:38,0.026s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:52:38,2018-10-04 15:52:40,1.812s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:52:40,2018-10-04 15:52:41,1.004s,PASSED
click,Chrome 69.0.3497.100,,2018-10-04 15:52:41,2018-10-04 15:52:44,2.925s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-04 15:52:44,2018-10-04 15:52:45,1.003s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:52:45,2018-10-04 15:52:45,0.247s,PASSED
rightClick,Chrome 69.0.3497.100,,2018-10-04 15:52:45,2018-10-04 15:52:45,0.124s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:52:45,2018-10-04 15:52:45,0.194s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-04 15:52:45,2018-10-04 15:52:45,0.244s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-04 15:52:45,2018-10-04 15:52:46,0.178s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-04 15:52:46,2018-10-04 15:52:46,0.149s,PASSED
selectOptionByValue,Chrome 69.0.3497.100,,2018-10-04 15:52:46,2018-10-04 15:52:46,0.180s,PASSED
